trip_id,realtime_trip_id
9921211-125-C-Weekday-50,2961018
9921212-125-C-Weekday-50,2961015
9921213-125-C-Weekday-50,2961034
9921214-125-C-Weekday-50,2961031
9921215-125-C-Weekday-50,2961050
9921216-125-C-Weekday-50,2961047
9921217-125-C-Weekday-50,2961066
9921218-125-C-Weekday-50,2921012
9921219-125-C-Weekday-50-SDon-1101100,611007
9921220-125-C-Weekday-50,1221056
9921221-125-C-Weekday-50-SDon,601010
9921222-125-C-Weekday-50,2921068
9921223-125-C-Weekday-50-SDon-1101100,191003
9921224-125-C-Weekday-50-SDon,671001
9921225-125-C-Weekday-50-SDon-1101100,871005
9921226-125-C-Weekday-50,2041008
9921227-125-C-Weekday-50,2921033
9921228-125-C-Weekday-50,2921090
9921229-125-C-Weekday-50,2921046
9921230-125-C-Weekday-50,2921053
9921231-125-C-Weekday-50,2921092
9921232-125-C-Weekday-50,2921078
9921233-125-C-Weekday-50,2921075
9921234-125-C-Weekday-50,2961002
9921235-125-C-Weekday-50,2921081
9921236-125-C-Weekday-50,2921086
9921237-125-C-Weekday-50-SDon,601001
9921238-125-C-Weekday-50-SDon,141012
9921239-125-C-Weekday-50,2921071
9921240-125-C-Weekday-50,2921059
9921241-125-C-Weekday-50,2921076
9921242-125-C-Weekday-50,2921080
9921243-125-C-Weekday-50,2961004
9921244-125-C-Weekday-50,2041004
9921245-125-C-Weekday-50-SDon,161002
9921246-125-C-Weekday-50-SDon,791004
9921247-125-C-Weekday-50,2921079
9921248-125-C-Weekday-50,1221014
9921249-125-C-Weekday-50,1221015
9921250-125-C-Weekday-50,1221026
9921251-125-C-Weekday-50,1221027
9921252-125-C-Weekday-50,1221038
9921253-125-C-Weekday-50,1221039
9921254-125-C-Weekday-50,1221052
9921255-125-C-Weekday-50,1221055
9921256-125-C-Weekday-50,1221066
9921257-125-C-Weekday-50,1221067
9921258-125-C-Weekday-50-SDon,791002
9921259-125-C-Weekday-50,2921084
9921260-125-C-Weekday-50,1221008
9921261-125-C-Weekday-50,1221011
9921262-125-C-Weekday-50,1221022
9921263-125-C-Weekday-50,1221023
9921264-125-C-Weekday-50,1221034
9921265-125-C-Weekday-50,1221035
9921266-125-C-Weekday-50,1221046
9921267-125-C-Weekday-50,1221051
9921268-125-C-Weekday-50,1221062
9921269-125-C-Weekday-50,1221063
9921270-125-C-Weekday-50,1221074
9921271-125-C-Weekday-50,2921064
9921272-125-C-Weekday-50,2921065
9921273-125-C-Weekday-50-SDon-1101100,671016
9921274-125-C-Weekday-50-SDon-0010000,551002
9921275-125-C-Weekday-50,2041003
9921276-125-C-Weekday-50,2961091
9921277-125-C-Weekday-50-SDon-1011100,461009
9921278-125-C-Weekday-50,2921069
9921279-125-C-Weekday-50,2921008
9921280-125-C-Weekday-50-SDon-1101100,291003
9921281-125-C-Weekday-50,2921021
9921282-125-C-Weekday-50,1221004
9921283-125-C-Weekday-50,1221007
9921284-125-C-Weekday-50,2921072
9921285-125-C-Weekday-50,2921014
9921286-125-C-Weekday-50,1221048
9921287-125-C-Weekday-50,1221053
9921288-125-C-Weekday-50,1221064
9921289-125-C-Weekday-50,1221065
9921290-125-C-Weekday-50,1221076
9921291-125-C-Weekday-50,2921034
9921292-125-C-Weekday-50,2921001
9921293-125-C-Weekday-50,1221001
9921294-125-C-Weekday-50,1221012
9921295-125-C-Weekday-50,2921041
9921298-125-C-Weekday-50,3971003
9921299-125-C-Weekday-50,4001143
9921304-125-C-Weekday-50,4001135
9921308-125-C-Weekday-50,4001142
9921311-125-C-Weekday-50,3971006
9921314-125-C-Weekday-50,3991003
9921320-125-C-Weekday-50,4001146
9921321-125-C-Weekday-50,3991002
9921323-125-C-Weekday-50,3971007
9921325-125-C-Weekday-50,4001140
9921330-125-C-Weekday-50,4001007
9921331-125-C-Weekday-50,4001010
9921332-125-C-Weekday-50,3991007
9921333-125-C-Weekday-50,3991009
9921334-125-C-Weekday-50,3971002
9921338-125-C-Weekday-50,4001141
9921340-125-C-Weekday-50,3971004
9921341-125-C-Weekday-50,4001139
9921347-125-C-Weekday-50,3971001
9921349-125-C-Weekday-50,3991011
9921351-125-C-Weekday-50,1301002
9921352-125-C-Weekday-50,4001137
9921353-125-C-Weekday-50,3991005
9921354-125-C-Weekday-50,3971005
9921356-125-C-Weekday-50,4001005
9921358-125-C-Weekday-50,4001138
9921361-125-C-Weekday-50,3991001
9921363-125-C-Weekday-50,4001006
9921364-125-C-Weekday-50,4001144
9921365-125-C-Weekday-50,3991004
9921371-125-C-Weekday-50,3991006
9921375-125-C-Weekday-50,4001002
9921379-125-C-Weekday-50,4001004
9919625-125-C-Saturday-50,1226001
9919626-125-C-Saturday-50,1226002
9919627-125-C-Saturday-50,1226004
9919628-125-C-Saturday-50,1226006
9919629-125-C-Saturday-50,1226003
9919630-125-C-Saturday-50,1226008
9919631-125-C-Saturday-50,1226010
9919632-125-C-Saturday-50,1226005
9919633-125-C-Saturday-50,1226007
9919634-125-C-Saturday-50,1226012
9919635-125-C-Saturday-50,1226014
9919636-125-C-Saturday-50,1226009
9919637-125-C-Saturday-50,1226011
9919638-125-C-Saturday-50,1226016
9919639-125-C-Saturday-50,1226018
9919640-125-C-Saturday-50,1226013
9919641-125-C-Saturday-50,1226015
9919642-125-C-Saturday-50,1226020
9919643-125-C-Saturday-50,1226022
9919644-125-C-Saturday-50,1226017
9919645-125-C-Saturday-50,1226019
9919646-125-C-Saturday-50,1226024
9919647-125-C-Saturday-50,1226026
9919648-125-C-Saturday-50,1226021
9919649-125-C-Saturday-50,1226023
9919650-125-C-Saturday-50,1226028
9919651-125-C-Saturday-50,1226030
9919652-125-C-Saturday-50,1226025
9919653-125-C-Saturday-50,1226027
9919654-125-C-Saturday-50,1226032
9919655-125-C-Saturday-50,1226034
9919656-125-C-Saturday-50,1226029
9919657-125-C-Saturday-50,1226031
9919658-125-C-Saturday-50,1226036
9919659-125-C-Saturday-50,1226038
9919660-125-C-Saturday-50,1226033
9919661-125-C-Saturday-50,1226035
9919662-125-C-Saturday-50,1226040
9919663-125-C-Saturday-50,1226042
9919664-125-C-Saturday-50,1226037
9919665-125-C-Saturday-50,1226039
9919666-125-C-Saturday-50,1226044
9919667-125-C-Saturday-50,1226041
9919668-125-C-Saturday-50,1226046
9919669-125-C-Saturday-50,1226043
9919670-125-C-Saturday-50,1226048
9919671-125-C-Saturday-50,1226045
9919672-125-C-Saturday-50,1226050
9919673-125-C-Saturday-50,1226052
9919674-125-C-Saturday-50,1226047
9919675-125-C-Saturday-50,1226054
9919676-125-C-Saturday-50,1226049
9919677-125-C-Saturday-50,1226051
9919678-125-C-Saturday-50,1226056
9919679-125-C-Saturday-50,1226053
9919680-125-C-Saturday-50,1226058
9919681-125-C-Saturday-50,1226055
9919682-125-C-Saturday-50,2926047
9919683-125-C-Saturday-50,2926050
9919684-125-C-Saturday-50,2926049
9919685-125-C-Saturday-50,2926052
9919686-125-C-Saturday-50,2926051
9919687-125-C-Saturday-50,2926054
9919688-125-C-Saturday-50,2926053
9919689-125-C-Saturday-50,2926056
9919690-125-C-Saturday-50,2926055
9919691-125-C-Saturday-50,2926058
