route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
296-158,125-C-Weekday-50,9921122-125-C-Weekday-50,"Redwood City Transit Center",2961001,1,,2960240
296-158,125-C-Weekday-50,9921123-125-C-Weekday-50,"Redwood City Transit Center",2961020,0,,2960218
292-158,125-C-Weekday-50,9921124-125-C-Weekday-50,"SF Airport",2921015,1,,2921018
29-158,125-C-Weekday-50-SDon-0010000,9921125-125-C-Weekday-50-SDon-0010000,"Templeton/Brunswick",291001,1,,290024
296-158,125-C-Weekday-50,9921126-125-C-Weekday-50,"Redwood City Transit Center",2961063,1,,2960240
296-158,125-C-Weekday-50,9921127-125-C-Weekday-50,"Redwood City Transit Center",2961084,0,,2960218
296-158,125-C-Weekday-50,9921128-125-C-Weekday-50,"Redwood City Transit Center",2961081,1,,2960240
296-158,125-C-Weekday-50,9921129-125-C-Weekday-50,"Redwood City Transit Center",2961102,0,,2960218
296-158,125-C-Weekday-50,9921130-125-C-Weekday-50,"Redwood City Transit Center",2961101,1,,2960240
296-158,125-C-Weekday-50,9921131-125-C-Weekday-50,"Redwood City Transit Center",2961112,0,,2960218
292-158,125-C-Weekday-50,9921132-125-C-Weekday-50,"San Francisco",2921074,0,,2921014
292-158,125-C-Weekday-50,9921133-125-C-Weekday-50,"Hillsdale Mall",2921073,1,,2921015
292-158,125-C-Weekday-50,9921134-125-C-Weekday-50,"San Francisco",2921004,0,,2921014
292-158,125-C-Weekday-50,9921135-125-C-Weekday-50,"Hillsdale Mall",2921013,1,,2921015
292-158,125-C-Weekday-50,9921136-125-C-Weekday-50,"San Francisco",2921020,0,,2921017
292-158,125-C-Weekday-50,9921137-125-C-Weekday-50,"San Francisco",2921030,0,,2921014
292-158,125-C-Weekday-50,9921138-125-C-Weekday-50,"Hillsdale Mall",2921037,1,,2921016
292-158,125-C-Weekday-50,9921139-125-C-Weekday-50,"Hillsdale Mall",2921003,1,,2921016
292-158,125-C-Weekday-50,9921140-125-C-Weekday-50,"San Francisco",2921052,0,,2921014
292-158,125-C-Weekday-50,9921141-125-C-Weekday-50,"Hillsdale Mall",2921057,1,,2921015
292-158,125-C-Weekday-50,9921142-125-C-Weekday-50,"SF Airport",2921011,1,,2921018
292-158,125-C-Weekday-50,9921143-125-C-Weekday-50,"San Francisco",2921088,0,,2921014
292-158,125-C-Weekday-50,9921144-125-C-Weekday-50,"San Francisco",2921006,0,,2921014
292-158,125-C-Weekday-50,9921145-125-C-Weekday-50,"San Francisco",2921082,0,,2921014
292-158,125-C-Weekday-50,9921146-125-C-Weekday-50,"SF Airport",2921019,1,,2921018
292-158,125-C-Weekday-50,9921147-125-C-Weekday-50,"Hillsdale Mall",2921077,1,,2921016
122-158,125-C-Weekday-50,9921148-125-C-Weekday-50,"South SF BART",1221049,1,,1220499
292-158,125-C-Weekday-50,9921149-125-C-Weekday-50,"San Francisco",2921002,0,,2921014
292-158,125-C-Weekday-50,9921150-125-C-Weekday-50,"Hillsdale Mall",2921009,1,,2921016
122-158,125-C-Weekday-50,9921151-125-C-Weekday-50,"Stonestown/SF State",1221044,0,,1220498
292-158,125-C-Weekday-50,9921152-125-C-Weekday-50,"San Francisco",2921026,0,,2921014
122-158,125-C-Weekday-50,9921153-125-C-Weekday-50,"South SF BART",1221033,1,,1220499
122-158,125-C-Weekday-50,9921154-125-C-Weekday-50,"Stonestown/SF State",1221032,0,,1220498
292-158,125-C-Weekday-50,9921155-125-C-Weekday-50,"San Francisco",2921048,0,,2921014
KX-158,125-C-Weekday-50,9921156-125-C-Weekday-50,"Redwood City Transit Center",2041001,1,,KX0141
296-158,125-C-Weekday-50,9921157-125-C-Weekday-50,"Redwood City Transit Center",2961083,1,,2960240
122-158,125-C-Weekday-50,9921158-125-C-Weekday-50,"South SF BART",1221021,1,,1220499
122-158,125-C-Weekday-50,9921159-125-C-Weekday-50,"Stonestown/SF State",1221020,0,,1220498
54-158,125-C-Weekday-50-SDon,9921160-125-C-Weekday-50-SDon,"Bowditch School",541002,0,,540038
122-158,125-C-Weekday-50,9921161-125-C-Weekday-50,"South SF BART",1221009,1,,1220499
292-158,125-C-Weekday-50,9921162-125-C-Weekday-50,"San Francisco",2921028,0,,2921014
292-158,125-C-Weekday-50,9921163-125-C-Weekday-50,"Hillsdale Mall",2921035,1,,2921015
122-158,125-C-Weekday-50,9921164-125-C-Weekday-50,"Stonestown/SF State",1221006,0,,1220498
292-158,125-C-Weekday-50,9921165-125-C-Weekday-50,"San Francisco",2921050,0,,2921014
292-158,125-C-Weekday-50,9921166-125-C-Weekday-50,"Hillsdale Mall",2921055,1,,2921015
122-158,125-C-Weekday-50,9921167-125-C-Weekday-50,"Stonestown/SF State",1221002,0,,1220498
122-158,125-C-Weekday-50,9921168-125-C-Weekday-50,"South SF BART",1221003,1,,1220499
292-158,125-C-Weekday-50,9921169-125-C-Weekday-50,"Hillsdale Mall",2921061,1,,2921015
296-158,125-C-Weekday-50,9921170-125-C-Weekday-50,"Redwood City Transit Center",2961077,1,,2960240
296-158,125-C-Weekday-50,9921171-125-C-Weekday-50,"Redwood City Transit Center",2961098,0,,2960218
296-158,125-C-Weekday-50,9921172-125-C-Weekday-50,"Redwood City Transit Center",2961097,1,,2960240
296-158,125-C-Weekday-50,9921173-125-C-Weekday-50,"Redwood City Transit Center",2961110,0,,2960218
296-158,125-C-Weekday-50,9921174-125-C-Weekday-50,"Redwood City Transit Center",2961109,1,,2960240
292-158,125-C-Weekday-50,9921175-125-C-Weekday-50,"San Francisco",2921054,0,,2921014
122-158,125-C-Weekday-50,9921176-125-C-Weekday-50,"Stonestown/SF State",1221016,0,,1220498
61-158,125-C-Weekday-50-SDon-0010000,9921177-125-C-Weekday-50-SDon-0010000,"San Carlos Caltrain",611003,1,,610016
